customer_id,sim_number,mobile_number,network_type,sim_type,activation_date,status
CUST00001,89599803752303931102,9202730238,5G,Postpaid,2022-06-17,Active
CUST00002,89179582522299118400,9129207223,4G,Postpaid,2021-09-12,Active
CUST00003,89074346481868425637,9582339895,5G,Prepaid,2024-12-01,Suspended
CUST00004,89805285096568651890,9139977387,4G,Postpaid,2022-03-30,Inactive
CUST00005,89232388776939980682,9767823608,4G,Prepaid,2025-11-12,Active
CUST00006,89551709159316493780,9966514448,5G,Prepaid,2025-06-11,Inactive
CUST00007,89900894157221969381,9430620681,4G,Prepaid,2026-06-20,Active
CUST00008,89025185823791858467,9919872029,5G,Prepaid,2023-09-19,Inactive
CUST00009,89217982507532081593,9008433914,5G,Prepaid,2024-01-12,Inactive
CUST00010,89013357465365205390,9796330507,5G,Prepaid,2022-04-28,Inactive
CUST00011,89580470928893059975,9443271929,5G,Postpaid,2023-03-20,Suspended
CUST00012,89121286982025420031,9844161693,5G,Prepaid,2026-06-09,Inactive
CUST00013,89801561641318480328,9088516323,4G,Prepaid,2024-12-01,Suspended
CUST00014,89427781084684251683,9057410376,4G,Prepaid,2021-10-28,Suspended
CUST00015,89465642324545419135,9594152583,5G,Postpaid,2022-10-02,Suspended
CUST00016,89422726183284893599,9357811644,5G,Prepaid,2024-01-10,Active
CUST00017,89177114672657937218,9471329010,5G,Postpaid,2023-04-07,Suspended
CUST00018,89359508493646696017,9851185811,5G,Prepaid,2021-08-21,Suspended
CUST00019,89666223462979151430,9602353596,4G,Postpaid,2024-11-09,Suspended
CUST00020,89788600939161786106,9408123563,5G,Postpaid,2026-04-22,Inactive
CUST00021,89416923812904214080,9660271689,4G,Postpaid,2026-05-13,Inactive
CUST00022,89838361281327480730,9884787181,5G,Postpaid,2025-08-25,Suspended
CUST00023,89374753435760540150,9770510473,4G,Postpaid,2022-11-26,Active
CUST00024,89943384194956378074,9821311482,5G,Prepaid,2022-11-13,Inactive
CUST00025,89986573179985147621,9430444697,4G,Prepaid,2026-01-15,Suspended
CUST00026,89665161660193063603,9963490019,4G,Postpaid,2023-06-18,Suspended
CUST00027,89210236899189277579,9933450041,4G,Postpaid,2026-05-22,Active
CUST00028,89320991521595646092,9130307661,4G,Postpaid,2025-03-04,Inactive
CUST00029,89328228644141839466,9166846482,5G,Prepaid,2021-08-28,Suspended
CUST00030,89418436064380932743,9848181869,5G,Prepaid,2025-04-08,Suspended
CUST00031,89340030830040989562,9444055724,5G,Postpaid,2022-05-30,Inactive
CUST00032,89455319055998188534,9139636209,5G,Postpaid,2024-02-05,Suspended
CUST00033,89590072749591696084,9494172319,4G,Prepaid,2026-04-13,Active
CUST00034,89440740522572591300,9066863721,4G,Prepaid,2025-10-11,Suspended
CUST00035,89752994558275326237,9840470571,4G,Prepaid,2023-12-04,Inactive
CUST00036,89519993695841635967,9656416566,5G,Postpaid,2025-07-15,Active
CUST00037,89510901022848793074,9571112070,4G,Postpaid,2022-07-20,Suspended
CUST00038,89768103247173565860,9589359679,4G,Prepaid,2025-11-23,Active
CUST00039,89516709257734758916,9552576150,4G,Postpaid,2023-11-30,Active
CUST00040,89371833528098769174,9984808618,5G,Prepaid,2025-07-07,Inactive
CUST00041,89527961242203921016,9434229978,4G,Postpaid,2023-02-04,Suspended
CUST00042,89117694527630965004,9101339893,4G,Prepaid,2022-06-24,Active
CUST00043,89645817978229414061,9003765849,4G,Prepaid,2025-01-30,Suspended
CUST00044,89142413038977312650,9056502578,4G,Postpaid,2022-09-17,Suspended
CUST00045,89540631225551197263,9909590279,4G,Postpaid,2022-09-02,Suspended
CUST00046,89272065519497386362,9369199183,4G,Prepaid,2026-06-22,Inactive
CUST00047,89138672528318704503,9836269616,5G,Postpaid,2024-08-04,Active
CUST00048,89347633475949333169,9717752969,5G,Postpaid,2025-06-20,Active
CUST00049,89382052700086764369,9691548978,5G,Prepaid,2023-12-23,Inactive
CUST00050,89951911068911059307,9245277050,4G,Prepaid,2024-09-07,Active
CUST00051,89629885774483075584,9056244818,5G,Prepaid,2023-08-26,Suspended
CUST00052,89313870425158709787,9950139193,4G,Prepaid,2022-08-09,Active
CUST00053,89589140926511920453,9414201349,4G,Postpaid,2022-07-24,Suspended
CUST00054,89703390046456789754,9281404624,5G,Postpaid,2025-12-17,Active
CUST00055,89303727663975998432,9357236273,4G,Postpaid,2023-05-25,Suspended
CUST00056,89947908405877374591,9903454468,4G,Prepaid,2022-02-11,Suspended
CUST00057,89210914916875749222,9109549686,4G,Prepaid,2024-07-23,Suspended
CUST00058,89844168645746672915,9307909919,5G,Postpaid,2022-04-22,Suspended
CUST00059,89728924673756798475,9617099511,4G,Prepaid,2023-04-10,Inactive
CUST00060,89621657008311832722,9562576210,4G,Prepaid,2024-01-01,Suspended
CUST00061,89755134827676994170,9057955000,5G,Prepaid,2026-04-22,Suspended
CUST00062,89639764078299366713,9156630572,5G,Prepaid,2023-03-26,Suspended
CUST00063,89502641872389696861,9220217589,5G,Prepaid,2023-05-23,Active
CUST00064,89642321808116680964,9053701376,5G,Prepaid,2022-09-10,Suspended
CUST00065,89393223497279083470,9032489323,4G,Postpaid,2024-08-18,Active
CUST00066,89986020349342330568,9677946685,4G,Prepaid,2026-01-27,Suspended
CUST00067,89102310380869193649,9148426898,4G,Prepaid,2022-04-06,Active
CUST00068,89640220825791002623,9574658578,4G,Prepaid,2026-06-02,Inactive
CUST00069,89753624878485612874,9519242793,4G,Postpaid,2022-03-01,Inactive
CUST00070,89066355420117389921,9298516522,5G,Postpaid,2021-08-31,Active
CUST00071,89191983913423153061,9118778634,4G,Postpaid,2026-03-13,Suspended
CUST00072,89323120148735446259,9877747639,5G,Postpaid,2025-08-02,Active
CUST00073,89151714356282515408,9318872779,4G,Postpaid,2023-04-11,Inactive
CUST00074,89301451649876746847,9888674205,4G,Postpaid,2022-12-26,Active
CUST00075,89514593091848824211,9846221634,4G,Postpaid,2025-01-01,Active
CUST00076,89288361956336454950,9865153121,4G,Postpaid,2022-01-04,Active
CUST00077,89148186451625104122,9382987908,5G,Postpaid,2022-02-27,Inactive
CUST00078,89144022110811192152,9146601705,4G,Prepaid,2023-10-27,Active
CUST00079,89919656854683447897,9015522641,4G,Prepaid,2021-08-11,Inactive
CUST00080,89767271067885376836,9552957873,4G,Postpaid,2025-02-12,Suspended
CUST00081,89846220769377454209,9832022711,5G,Prepaid,2024-09-16,Active
CUST00082,89658784678691340822,9002149800,5G,Prepaid,2023-11-27,Active
CUST00083,89902113600578838502,9555773432,5G,Postpaid,2022-03-28,Suspended
CUST00084,89094087204765908882,9132183669,5G,Prepaid,2023-08-03,Inactive
CUST00085,89609646782680379417,9980846987,5G,Postpaid,2025-05-30,Inactive
CUST00086,89393458914337415728,9758456271,4G,Prepaid,2023-08-04,Active
CUST00087,89647874876329424749,9244698459,4G,Prepaid,2023-10-09,Inactive
CUST00088,89963101234354249559,9609478306,4G,Postpaid,2026-03-21,Suspended
CUST00089,89946946833971311691,9658899872,4G,Postpaid,2025-01-05,Suspended
CUST00090,89816659818470710855,9631284209,5G,Postpaid,2024-05-06,Active
CUST00091,89743486791839634162,9939098112,5G,Postpaid,2026-03-09,Active
CUST00092,89267991166189831174,9151285136,4G,Prepaid,2024-05-12,Suspended
CUST00093,89433926086226788709,9416523700,4G,Prepaid,2021-11-21,Suspended
CUST00094,89081636005249383509,9519003226,4G,Prepaid,2023-06-11,Suspended
CUST00095,89215862510132155732,9478432674,5G,Prepaid,2026-02-01,Suspended
CUST00096,89707145822337039095,9310323385,4G,Prepaid,2023-03-25,Suspended
CUST00097,89710159559198597037,9673058582,4G,Prepaid,2024-06-08,Suspended
CUST00098,89408295946064193375,9459968224,5G,Prepaid,2025-05-25,Active
CUST00099,89550277136971984951,9125588983,4G,Postpaid,2022-05-13,Active
CUST00100,89306336883939630446,9781412570,4G,Postpaid,2024-07-23,Inactive
CUST00101,89637027702538152897,9779244547,5G,Prepaid,2025-09-08,Suspended
CUST00102,89474612750503609361,9131568731,4G,Prepaid,2023-03-29,Active
CUST00103,89176501280772121227,9264596394,5G,Postpaid,2024-11-26,Active
CUST00104,89512426739041312246,9831090358,4G,Postpaid,2024-09-05,Inactive
CUST00105,89696716035696615462,9632750271,4G,Postpaid,2025-03-17,Suspended
CUST00106,89141292756571199587,9210238728,4G,Prepaid,2021-07-02,Active
CUST00107,89350678642359135678,9664970695,5G,Postpaid,2024-01-19,Active
CUST00108,89427973071574269693,9643356239,5G,Postpaid,2024-01-17,Inactive
CUST00109,89361051381015516341,9111870000,5G,Postpaid,2024-01-25,Inactive
CUST00110,89123422964289216516,9053220893,4G,Postpaid,2024-10-26,Active
CUST00111,89741507238954287582,9898046617,4G,Prepaid,2025-07-09,Suspended
CUST00112,89420710314210653903,9478247599,4G,Postpaid,2022-12-26,Suspended
CUST00113,89596038445705589351,9390665068,5G,Postpaid,2023-12-06,Inactive
CUST00114,89004561664873432492,9602731603,4G,Prepaid,2021-12-01,Inactive
CUST00115,89000046367145789632,9450632705,4G,Postpaid,2025-06-08,Inactive
CUST00116,89715041626922255398,9694564686,4G,Prepaid,2022-03-22,Suspended
CUST00117,89500776312042628573,9469142840,5G,Postpaid,2021-09-09,Inactive
CUST00118,89846962512180240516,9137437847,4G,Postpaid,2024-07-26,Active
CUST00119,89271959328190466028,9382322583,5G,Prepaid,2025-10-28,Active
CUST00120,89314995177565702316,9223345015,4G,Prepaid,2023-01-18,Suspended
CUST00121,89298312358520811979,9765786610,5G,Postpaid,2023-01-17,Active
CUST00122,89758085997358824416,9591186247,5G,Prepaid,2024-08-30,Suspended
CUST00123,89813940535722574236,9348914026,5G,Postpaid,2023-01-20,Suspended
CUST00124,89805520419797576011,9555800875,4G,Postpaid,2025-07-23,Active
CUST00125,89819465940216143709,9513183823,4G,Prepaid,2024-03-06,Inactive
CUST00126,89695259631761674148,9844468501,4G,Prepaid,2024-01-13,Inactive
CUST00127,89781526064490038910,9854184293,5G,Postpaid,2021-09-07,Inactive
CUST00128,89679596147781469023,9457017733,4G,Prepaid,2024-02-21,Inactive
CUST00129,89217958322077748212,9065360549,5G,Postpaid,2025-07-07,Suspended
CUST00130,89026580174863878539,9793108262,4G,Postpaid,2024-07-25,Inactive
CUST00131,89924819668429239122,9699906041,4G,Postpaid,2025-11-22,Inactive
CUST00132,89309755979063806173,9956611828,4G,Prepaid,2023-04-04,Active
CUST00133,89983324823688312882,9075864358,4G,Prepaid,2023-09-07,Active
CUST00134,89440834474486896839,9753363149,4G,Prepaid,2024-12-29,Inactive
CUST00135,89713488148442342238,9186175686,4G,Postpaid,2023-12-01,Inactive
CUST00136,89003690426050572516,9496422069,5G,Postpaid,2024-09-05,Inactive
CUST00137,89314682570656320037,9830035808,5G,Postpaid,2023-02-06,Active
